feature,target,n_with,n_without,p_target_given_feature,p_target_given_not_feature,lift
landing_objective,yield_divs,439,61,1.0,1.0,0.0
landing_mstar,yield_divs,196,304,1.0,1.0,0.0
landing_overall_ratings,yield_divs,274,226,1.0,1.0,0.0
landing_mf_key_ratios,yield_divs,364,136,1.0,1.0,0.0
landing_risk_statistics,yield_divs,379,121,1.0,1.0,0.0
landing_top10,yield_divs,410,90,1.0,1.0,0.0
landing_key_profile,yield_divs,487,13,1.0,1.0,0.0
landing_ownership,yield_divs,14,486,1.0,1.0,0.0
landing_mf_esg,yield_divs,224,276,1.0,1.0,0.0
landing_ok,yield_divs,500,0,1.0,,
landing_dividends,yield_divs,500,0,1.0,,
landing_objective,yield_esg,439,61,0.0,0.0,0.0
landing_mstar,yield_esg,196,304,0.0,0.0,0.0
landing_overall_ratings,yield_esg,274,226,0.0,0.0,0.0
landing_mf_key_ratios,yield_esg,364,136,0.0,0.0,0.0
landing_risk_statistics,yield_esg,379,121,0.0,0.0,0.0
landing_top10,yield_esg,410,90,0.0,0.0,0.0
landing_key_profile,yield_esg,487,13,0.0,0.0,0.0
landing_ownership,yield_esg,14,486,0.0,0.0,0.0
landing_mf_esg,yield_esg,224,276,0.0,0.0,0.0
landing_ok,yield_esg,500,0,0.0,,
landing_dividends,yield_esg,500,0,0.0,,
landing_objective,yield_holdings,439,61,1.0,1.0,0.0
landing_mstar,yield_holdings,196,304,1.0,1.0,0.0
landing_overall_ratings,yield_holdings,274,226,1.0,1.0,0.0
landing_mf_key_ratios,yield_holdings,364,136,1.0,1.0,0.0
landing_risk_statistics,yield_holdings,379,121,1.0,1.0,0.0
landing_top10,yield_holdings,410,90,1.0,1.0,0.0
landing_key_profile,yield_holdings,487,13,1.0,1.0,0.0
landing_ownership,yield_holdings,14,486,1.0,1.0,0.0
landing_mf_esg,yield_holdings,224,276,1.0,1.0,0.0
landing_ok,yield_holdings,500,0,1.0,,
landing_dividends,yield_holdings,500,0,1.0,,
landing_overall_ratings,yield_lipper,274,226,1.0,0.0,1.0
landing_risk_statistics,yield_lipper,379,121,0.7229551451187335,0.0,0.7229551451187335
landing_top10,yield_lipper,410,90,0.6609756097560976,0.03333333333333333,0.6276422764227643
landing_objective,yield_lipper,439,61,0.6241457858769932,0.0,0.6241457858769932
landing_mf_key_ratios,yield_lipper,364,136,0.7032967032967034,0.1323529411764706,0.5709437621202328
landing_key_profile,yield_lipper,487,13,0.5626283367556468,0.0,0.5626283367556468
landing_ownership,yield_lipper,14,486,1.0,0.5349794238683128,0.46502057613168724
landing_mf_esg,yield_lipper,224,276,0.75,0.38405797101449274,0.36594202898550726
landing_mstar,yield_lipper,196,304,0.75,0.41776315789473684,0.33223684210526316
landing_ok,yield_lipper,500,0,0.548,,
landing_dividends,yield_lipper,500,0,0.548,,
landing_top10,yield_mstar,410,90,0.9585365853658536,0.5,0.4585365853658536
landing_objective,yield_mstar,439,61,0.9248291571753986,0.5245901639344263,0.40023899324097234
